timestamp,can_id_hex,dlc,payload_hex
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,6d
2026-08-20 20:48:00,0x101,2,0c55
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,6c
2026-08-20 20:48:00,0x101,2,0c48
2026-08-20 20:48:00,0x102,1,50
2026-08-20 20:48:00,0x100,1,67
2026-08-20 20:48:00,0x101,2,0cae
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,69
2026-08-20 20:48:00,0x101,2,0c30
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:00,0x100,1,64
2026-08-20 20:48:00,0x101,2,0c2e
2026-08-20 20:48:00,0x102,1,52
2026-08-20 20:48:00,0x100,1,68
2026-08-20 20:48:00,0x101,2,0c5d
2026-08-20 20:48:00,0x102,1,52
2026-08-20 20:48:00,0x100,1,6c
2026-08-20 20:48:00,0x101,2,0bf2
2026-08-20 20:48:00,0x102,1,52
2026-08-20 20:48:00,0x100,1,6d
2026-08-20 20:48:00,0x101,2,0c84
2026-08-20 20:48:00,0x102,1,51
2026-08-20 20:48:01,0x100,1,6a
2026-08-20 20:48:01,0x101,2,0cd7
2026-08-20 20:48:01,0x102,1,52
2026-08-20 20:48:01,0x100,1,6d
2026-08-20 20:48:01,0x101,2,0cc7
2026-08-20 20:48:01,0x102,1,52
2026-08-20 20:48:01,0x100,1,69
2026-08-20 20:48:01,0x101,2,0d35
2026-08-20 20:48:01,0x102,1,52
2026-08-20 20:48:01,0x100,1,64
2026-08-20 20:48:01,0x101,2,0d64
2026-08-20 20:48:01,0x102,1,52
2026-08-20 20:48:01,0x100,1,63
2026-08-20 20:48:01,0x101,2,0d4b
2026-08-20 20:48:01,0x102,1,51
2026-08-20 20:49:12,0x100,1,21
2026-08-20 20:49:12,0x101,2,04d0
2026-08-20 20:49:12,0x102,1,3a
2026-08-20 20:49:13,0x100,1,22
2026-08-20 20:49:13,0x101,2,0484
2026-08-20 20:49:13,0x102,1,39
2026-08-20 20:49:14,0x100,1,25
2026-08-20 20:49:14,0x101,2,04f5
2026-08-20 20:49:14,0x102,1,3a
2026-08-20 20:49:15,0x100,1,29
2026-08-20 20:49:15,0x101,2,0573
2026-08-20 20:49:15,0x102,1,3a
2026-08-20 20:49:16,0x100,1,29
2026-08-20 20:49:16,0x101,2,058c
2026-08-20 20:49:16,0x102,1,3b
2026-08-20 20:49:17,0x100,1,26
2026-08-20 20:49:17,0x101,2,0515
2026-08-20 20:49:17,0x102,1,3c
2026-08-20 20:49:18,0x100,1,27
2026-08-20 20:49:18,0x101,2,0545
2026-08-20 20:49:18,0x102,1,3d
2026-08-20 20:49:19,0x100,1,25
2026-08-20 20:49:19,0x101,2,05bc
2026-08-20 20:49:19,0x102,1,3d
2026-08-20 20:49:20,0x100,1,29
2026-08-20 20:49:20,0x101,2,0599
2026-08-20 20:49:20,0x102,1,3d
2026-08-20 20:49:21,0x100,1,2d
2026-08-20 20:49:21,0x101,2,0618
2026-08-20 20:49:21,0x102,1,3d
2026-08-20 20:49:22,0x100,1,2b
2026-08-20 20:49:22,0x101,2,05f7
2026-08-20 20:49:22,0x102,1,3d
2026-08-20 20:49:23,0x100,1,2c
2026-08-20 20:49:23,0x101,2,05ab
2026-08-20 20:49:23,0x102,1,3d
2026-08-20 20:49:24,0x100,1,29
2026-08-20 20:49:24,0x101,2,05db
2026-08-20 20:49:24,0x102,1,3d
2026-08-20 20:49:25,0x100,1,27
2026-08-20 20:49:25,0x101,2,064a
2026-08-20 20:49:25,0x102,1,3d
2026-08-20 20:49:26,0x100,1,2a
2026-08-20 20:49:26,0x101,2,06c0
2026-08-20 20:49:26,0x102,1,3e
2026-08-20 20:49:27,0x100,1,25
2026-08-20 20:49:27,0x101,2,06fa
2026-08-20 20:49:27,0x102,1,3e
2026-08-20 20:49:28,0x100,1,27
2026-08-20 20:49:28,0x101,2,06bc
2026-08-20 20:49:28,0x102,1,3d
2026-08-20 20:49:29,0x100,1,2b
2026-08-20 20:49:29,0x101,2,0672
2026-08-20 20:49:29,0x102,1,3d
2026-08-20 20:49:30,0x100,1,2f
2026-08-20 20:49:30,0x101,2,0621
2026-08-20 20:49:30,0x102,1,3c
2026-08-20 21:10:38,0x100,1,32
2026-08-20 21:10:38,0x101,2,045d
